;"7";"Антонина";"cyvyo@rumail.ru";"3";"Уже не надеялась где-то взять кредит с плохой кредитной историей, тут помогли. Спасибо.";"2017-01-29 12:28:48"
;"16";"Настя";"chjeveezeed@nihuja.net";"3";"Молодцы! Огромное спасибо коллективу, а именно Екатерине за качественную и грамотную работу.";"2017-02-09 18:43:12"
;"18";"Александр Рубцов";"quyakya@rumail.ru";"5";"Отличный вариант для тех, кто ценит своё время, деньги и нервы. Кредит оформили быстро, обслуживание качественное, а главное оплата только по факту проделанной работы. …";"2017-01-06 21:21:36"
;"1";"Аркадий";"tjapoo@exn.ru";"1";"Очень благодарен вашей компании за оказанную услугу!";"2017-01-27 18:43:12"
;"4";"Ярослав";"thiusch@hob.ru";"2";"Працюю лише 3 місяці, але мені оформили кредит. Дякую.";"2017-02-15 00:57:36"
;"16";"Мирослава";"shiufee@rol.ru";"1";"Очень милые сотрудники работают в Киевском офисе, не то, что в банках, где на тебя смотрят как на нуждающегося ещё и нахамят.";"2017-01-05 22:19:12"
;"4";"Антонина";"kaesyo@chat.ru";"3";"Огромное спасибо, менеджерам компании, за быструю и качественную работу. Положительный ответ получила через 20 мин как зашла к менеджерам на отделение.";"2017-02-17 11:02:24"
;"21";"Власов С.";"nooh@orc.ru";"1";"Сам обратился в два банка получил отказ. Через сайт заполнил заявку. Обошлось не дорого но и не дешево, но деньги были очень нужны.";"2017-02-20 03:50:24"
;"6";"Иван";"xytyur@nextmail.ru";"3";"Пришел, оформил, получил.";"2017-01-24 14:52:48"
;"3";"Диана";"cyog@hotbox.ru";"5";"Очень довольна, буду рекомендовать друзьям.";"2017-02-24 00:28:48"
;"9";"Лариса";"zaef@usa.net";"5";"Прекрасный молодой коллектив, обаятельные ребята, знающие и с пониманием относящиеся к каждому клиенту.";"2017-02-08 01:40:48"
;"13";"Александр";"fyulae@yahoo.com";"1";"Очень быстро нашли мне кредит на выгодных условиях. Хотя до этого и самостоятельно обращался в банки, но нигде не оформил. Спасибо за работу.";"2017-02-04 11:16:48"
;"17";"Михаил";"cischaep@hotbox.com";"1";"Все сделано очень быстро. Если понадобится, то обязательно обращусь еще раз.";"2017-01-31 02:38:24"
;"21";"Денис";"hoofjiloo@hob.ru";"3";"Спасибо за сотрудничество. Быстро и оперативно решили вопрос получения кредита. Отдельное спасибо сотрудникам.";"2017-01-06 17:31:12"
;"8";"Артем";"nyoxy@smtp.ru";"5";"Уникальное предложение, спасибо ребятам за оперативность, реальная помощь. Спасибо.";"2017-02-21 09:36:00"
;"4";"Стас";"zhuvyexou@sexnarod.ru";"5";"Нда, в интернете теперь можно и женится и разводится и кредит оформить. Кредит в интернете, машину покупал через интернет, на учет ставил через интернет. Три минуты потратил чтобы получить кредит";"2017-01-21 21:21:36"
